Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
219;0.083662;0.09899762;0.09640479;0.10797344;0.10853158;0.099113886;0.010164868
220;0.08596723;0.09621255;0.09507552;0.10816983;0.10956474;0.098997974;0.009858042
221;0.08507757;0.09568983;0.09523579;0.10624433;0.10812376;0.098074256;0.009359472
222;0.082687;0.09479397;0.09529566;0.10725286;0.10750996;0.09750789;0.010331069
223;0.0817738;0.09616276;0.09364925;0.10640334;0.10553268;0.096704366;0.010056815
224;0.08113469;0.09545287;0.09284015;0.10547214;0.10724166;0.096428302;0.01056457
225;0.08215784;0.09373774;0.09403728;0.10519093;0.10643401;0.09631156;0.009917559
226;0.08192024;0.09396789;0.0938341;0.10417304;0.1054073;0.095860514;0.009516549
227;0.07824151;0.09298351;0.09327152;0.10568389;0.10523305;0.095082696;0.011255304
228;0.07970789;0.09401767;0.09284907;0.10581065;0.1049835;0.095473756;0.010663704
229;0.07843561;0.09310009;0.09205215;0.10321501;0.10431504;0.09422358;0.010463278
230;0.07955676;0.09206886;0.09104692;0.10272968;0.10529597;0.094139638;0.010304925
231;0.08045199;0.09104436;0.08982981;0.1013109;0.10311562;0.093150536;0.009254873
232;0.07870028;0.09175461;0.09000257;0.10135274;0.1031578;0.0929936;0.009848433
233;0.07876576;0.08887877;0.09065982;0.10129207;0.10341932;0.092603148;0.010020077
234;0.07938799;0.08951326;0.09348116;0.10238057;0.10141419;0.093235434;0.009436528
235;0.07780588;0.08832421;0.09051828;0.10058824;0.10826665;0.093100652;0.011720544
236;0.07764906;0.08911233;0.08876454;0.10004073;0.10367556;0.091848444;0.010315201
237;0.07673108;0.08880676;0.08890176;0.10061849;0.10235391;0.0914824;0.010405264
238;0.07667842;0.08845834;0.08790973;0.09901541;0.10074286;0.090560952;0.009738118
239;0.07455702;0.08785657;0.08679895;0.10063649;0.09985407;0.08994062;0.010765067
240;0.07560065;0.08659301;0.08650059;0.0990182;0.0996879;0.08948007;0.010062634
241;0.07435885;0.08576892;0.08599223;0.09865496;0.09873714;0.08870242;0.010264468
242;0.07519222;0.08618197;0.08519215;0.09749426;0.09858179;0.088528478;0.00969468
